classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
Old building,"Aldoar, Foz do Douro e Nevogilde",41.173504346586064,-8.666511842934352,426.02,969.45,221.98,22656174.23,4539239.12
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17475544928377,-8.666801411651123,592.95,969.45,221.98,31533751.66,6317890.99
Old building,"Aldoar, Foz do Douro e Nevogilde",41.174174370712066,-8.666361144425792,432.51,969.45,221.98,23001447.57,4608415.77
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17391497975674,-8.666094701835199,402.76,969.45,221.98,21419235.88,4291414.44
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17400805911838,-8.665769143969495,427.57,969.45,221.98,22738644.63,4555762.33
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17453430396102,-8.66629261013565,420.13,969.45,221.98,22342874.59,4476468.5
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17426947849161,-8.666030284265,428.09,969.45,221.98,22766377.23,4561318.65
New building,"Aldoar, Foz do Douro e Nevogilde",41.1685939488399,-8.689951749348106,1175.67,969.45,221.98,4629144.25,861216.85
Old building,"Aldoar, Foz do Douro e Nevogilde",41.16848492297975,-8.666049013413977,1672.62,969.45,221.98,88951952.66,17821816.64
Old building,"Aldoar, Foz do Douro e Nevogilde",41.168964844716974,-8.666261265549123,178.99,969.45,221.98,9518907.04,1907144.37
Old building,"Aldoar, Foz do Douro e Nevogilde",41.16907904999977,-8.665812150000098,5.41,969.45,221.98,287532.2,57608.02
New building,"Aldoar, Foz do Douro e Nevogilde",41.168841948488,-8.667481723365809,1291.16,969.45,221.98,5083874.29,945815.89
