classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
New building,Bonfim,41.146007817378084,-8.591447050502481,2608.6,969.45,221.98,10271242.45,1910886.02
Old building,Ramalde,41.16366632670121,-8.656624888538268,1078.53,969.45,221.98,57357705.57,11491805.2
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.156127075178446,-8.625557550746072,502.38,969.45,221.98,1978090.41,368008.58
New building,Bonfim,41.14806465390022,-8.592309031702808,1022.56,969.45,221.98,4026294.59,749061.28
Old building,Ramalde,41.18343201810677,-8.643263648520415,4675.12,969.45,221.98,248628899.57,49813618.79
Old building,Paranhos,41.175595608004336,-8.604554173994877,4182.53,969.45,221.98,222432097.66,44565003.26
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15110629329744,-8.606133330494307,283.19,969.45,221.98,15060348.76,3017390.47
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.151459833771774,-8.606184131031352,332.56,969.45,221.98,1309451.55,243613.43
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15128076957239,-8.606301925893323,302.94,969.45,221.98,16110754.01,3227842.62
Old building,Bonfim,41.146116487781356,-8.601582014175278,2245.1,969.45,221.98,119397110.02,23921604.18
New building,Paranhos,41.16799620887051,-8.600007770233923,1050.0,969.45,221.98,4134322.96,769159.13
Old building,Paranhos,41.17085151309639,-8.604155081706159,822.09,969.45,221.98,43719744.81,8759394.85
Old building,"Aldoar, Foz do Douro e Nevogilde",41.172361831230916,-8.67225669507022,3229.39,969.45,221.98,171743035.83,34409282.8
New building,Ramalde,41.16721001152322,-8.646616730036907,1984.86,969.45,221.98,7815284.92,1453973.92
New building,Ramalde,41.17105713827504,-8.655286905351954,408.84,969.45,221.98,1609775.81,299486.46
New building,Bonfim,41.14579632636072,-8.596833849317717,271.17,969.45,221.98,1067719.24,198640.99
Old building,Ramalde,41.17096333384446,-8.629032462383623,3732.82,969.45,221.98,198515918.07,39773317.92
Old building,Campanhã,41.16443276119198,-8.586667031173572,12778.01,969.45,221.98,679550553.47,136150191.22
Old building,Campanhã,41.16176427859779,-8.583693372421163,36287.51,969.45,221.98,1929815653.94,386644921.35
New building,Bonfim,41.15343121055781,-8.60204123108771,245.95,969.45,221.98,968419.39,180167.01
New building,Lordelo do Ouro e Massarelos,41.15410253132403,-8.637392541807648,275.74,969.45,221.98,1085728.12,201991.4
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.16010367196126,-8.620456433400545,1902.07,969.45,221.98,7489319.64,1393330.58
New building,Ramalde,41.161625229318375,-8.64100648772889,615.06,969.45,221.98,2421768.1,450551.41
Old building,"Aldoar, Foz do Douro e Nevogilde",41.148976494353036,-8.668807101753975,1311.47,969.45,221.98,69745727.38,13973786.16
New building,"Aldoar, Foz do Douro e Nevogilde",41.15447277262646,-8.677433564112771,275.18,969.45,221.98,1083500.82,201577.03
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.156945346722566,-8.6262540637717,490.4,969.45,221.98,1930939.63,359236.53
New building,Paranhos,41.16741235701667,-8.624955532168993,1765.51,969.45,221.98,6951613.03,1293294.38
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.16003298632171,-8.614396931746272,2063.26,969.45,221.98,8124009.43,1511409.75
Old building,Paranhos,41.18018756681587,-8.602067106914985,1712.91,969.45,221.98,91094836.44,18251150.47
Old building,Paranhos,41.182746400008234,-8.614485499996722,192.89,969.45,221.98,10258141.98,2055252.53
New building,Paranhos,41.18286478844659,-8.61380232963413,187.68,969.45,221.98,738967.22,137479.19
