parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
ramalde,41.16966,-8.64363,0.75589,0.94131,0.80601,0.28210,0.57500,0.85179,0.66451
ramalde,41.17416,-8.64367,0.76521,0.94131,0.82532,0.28210,0.57500,0.85686,0.66451
ramalde,41.17866,-8.64370,0.77564,0.94131,0.84818,0.28210,0.57500,0.85798,0.66451
ramalde,41.18316,-8.64374,0.78796,0.94131,0.87295,0.28210,0.57500,0.86744,0.66451
lordelo do ouro e massarelos,41.15168,-8.63754,0.69932,0.96924,0.76603,0.26511,0.40543,0.86884,0.48731
lordelo do ouro e massarelos,41.15618,-8.63757,0.69241,0.96924,0.75452,0.26511,0.40543,0.85495,0.48731
lordelo do ouro e massarelos,41.16068,-8.63761,0.69409,0.96924,0.75270,0.26511,0.40543,0.87495,0.48731
ramalde,41.16518,-8.63764,0.73663,0.94131,0.76089,0.28210,0.57500,0.86019,0.66451
ramalde,41.16968,-8.63767,0.74522,0.94131,0.77766,0.28210,0.57500,0.86855,0.66451
ramalde,41.17419,-8.63771,0.75685,0.94131,0.80054,0.28210,0.57500,0.87917,0.66451
ramalde,41.17869,-8.63774,0.76534,0.94131,0.82700,0.28210,0.57500,0.85189,0.66451
lordelo do ouro e massarelos,41.14720,-8.63155,0.69563,0.96924,0.76234,0.26511,0.40543,0.85261,0.48731
lordelo do ouro e massarelos,41.15170,-8.63158,0.68662,0.96924,0.73980,0.26511,0.40543,0.86163,0.48731
lordelo do ouro e massarelos,41.15620,-8.63161,0.68024,0.96924,0.72611,0.26511,0.40543,0.85986,0.48731
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.71591,0.95559,0.72392,1.00000,0.17391,0.87355,0.71808
ramalde,41.16521,-8.63168,0.72708,0.94131,0.73371,0.28210,0.57500,0.88163,0.66451
ramalde,41.16971,-8.63172,0.74114,0.94131,0.75347,0.28210,0.57500,0.92294,0.66451
ramalde,41.17421,-8.63175,0.74228,0.94131,0.77987,0.28210,0.57500,0.83705,0.66451
ramalde,41.17871,-8.63178,0.75820,0.94131,0.80973,0.28210,0.57500,0.85695,0.66451
lordelo do ouro e massarelos,41.14723,-8.62559,0.69183,0.96924,0.74639,0.26511,0.40543,0.87962,0.48731
lordelo do ouro e massarelos,41.15173,-8.62562,0.67853,0.96924,0.72123,0.26511,0.40543,0.86376,0.48731
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.70900,0.95559,0.70573,1.00000,0.17391,0.88380,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.70585,0.95559,0.70323,1.00000,0.17391,0.86757,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.71122,0.95559,0.71436,1.00000,0.17391,0.87050,0.71808
ramalde,41.16974,-8.62576,0.72561,0.94131,0.73654,0.28210,0.57500,0.85968,0.66451
paranhos,41.17424,-8.62579,0.74623,0.93487,0.76569,0.34540,0.58478,0.83677,0.71881
